date,category,project_count
2026-02-27,أخرى,2
2026-02-27,تصميم,1
2026-02-28,أخرى,6
2026-02-28,برمجة,5
2026-02-28,تسويق,1
2026-02-28,تصميم,4
2026-02-28,فيديو,1
2026-03-01,برمجة,1
2026-03-01,تسويق,1
2026-03-01,فيديو,2
